symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,order_last_filled_quantity,order_filled_accumulated_quantity,order_trade_time,usd_size
FXS,BUY,LIMIT,IOC,77.0,3.495900,3.464836,FILLED,15.3,77.0,1752834257073,269.1843
VIRTUAL,BUY,LIMIT,IOC,123.8,1.8665000,1.8481000,FILLED,71.2,123.8,1752834263579,231.0727
C,SELL,LIMIT,IOC,995,0.4675200,0.4739508,FILLED,124,995,1752834265369,465.1824
TAC,BUY,LIMIT,IOC,248,0.0212000,0.0210600,FILLED,248,248,1752834270524,5.2576
TAC,BUY,LIMIT,IOC,20281,0.0212300,0.0211229,FILLED,7790,20281,1752834271680,430.56563
ICNT,BUY,LIMIT,IOC,100,0.2651000,0.2614530,FILLED,53,100,1752834271680,26.51
ERA,BUY,LIMIT,IOC,50,1.4787000,1.4642000,FILLED,50,50,1752834271680,73.935
NEWT,BUY,LIMIT,IOC,290,0.3316000,0.3287000,FILLED,290,290,1752834272455,96.164
DOGE,BUY,LIMIT,IOC,2073,0.240820,0.239310,FILLED,646,2073,1752834273118,499.21986000000004
DOGE,BUY,LIMIT,IOC,222,0.240850,0.239350,FILLED,161,222,1752834274386,53.4687
C,SELL,LIMIT,IOC,84,0.4634300,0.4688000,FILLED,84,84,1752834287199,38.92812
C,SELL,LIMIT,IOC,1514,0.4632700,0.4686613,FILLED,671,1514,1752834290295,701.3907800000001
C,SELL,LIMIT,IOC,51,0.4631000,0.4689700,FILLED,51,51,1752834291466,23.618100000000002
TAC,SELL,LIMIT,IOC,31356,0.0206000,0.0209337,FILLED,1549,31356,1752834291498,645.9336
SUI,BUY,LIMIT,IOC,92.3,4.086100,4.050100,FILLED,35.3,92.3,1752834293189,377.14703
C,SELL,LIMIT,IOC,106,0.4615900,0.4668800,FILLED,106,106,1752834301168,48.92854
C,SELL,LIMIT,IOC,45,0.4606600,0.4673500,FILLED,45,45,1752834303068,20.7297
NEIROETH,SELL,LIMIT,IOC,1079,0.1321400,0.1339977,FILLED,122,1079,1752834310422,142.57906
TAC,SELL,LIMIT,IOC,3629,0.0206000,0.0208800,FILLED,3629,3629,1752834317235,74.7574
C,SELL,LIMIT,IOC,319,0.4601600,0.4625303,FILLED,88,319,1752834318426,146.79104
C,SELL,LIMIT,IOC,3893,0.4599500,0.4636041,FILLED,141,3893,1752834319490,1790.58535
AIN,BUY,LIMIT,IOC,5580,0.1551300,0.1528530,FILLED,3250,5580,1752834320182,865.6253999999999
ETH,BUY,LIMIT,IOC,0.430,3628.05,3614.80,FILLED,0.430,0.430,1752834320182,1560.0615
C,SELL,LIMIT,IOC,12,0.4585874,0.4634700,FILLED,12,12,1752834321000,5.5030488
ETH,BUY,LIMIT,IOC,15.526,3629.61,3615.75,FILLED,12.619,15.526,1752834323532,56353.32486
AIN,BUY,LIMIT,IOC,11293,0.1555900,0.1534020,FILLED,840,11293,1752834324385,1757.07787
C,BUY,LIMIT,IOC,172,0.4746500,0.4675543,FILLED,56,172,1752834326154,81.63980000000001
C,BUY,LIMIT,IOC,359,0.4765500,0.4722800,FILLED,32,359,1752834330253,171.08145
SANTOS,BUY,LIMIT,IOC,5.5,2.4600000,2.4330000,FILLED,5.5,5.5,1752834331485,13.53
XLM,BUY,LIMIT,IOC,1611,0.48334,0.47859,FILLED,189,1611,1752834332153,778.66074
SANTOS,BUY,LIMIT,IOC,5.5,2.4610000,2.4280000,FILLED,5.5,5.5,1752834332562,13.535499999999999
TAC,SELL,LIMIT,IOC,668,0.0205500,0.0208400,FILLED,668,668,1752834336268,13.7274
VELVET,BUY,LIMIT,IOC,1356,0.0779600,0.0769900,FILLED,1356,1356,1752834337597,105.71376000000001
VELVET,BUY,LIMIT,IOC,440,0.0780900,0.0770500,FILLED,440,440,1752834339672,34.3596
XRP,BUY,LIMIT,IOC,734.4,3.4519,3.4352,FILLED,734.4,734.4,1752834340268,2535.0753600000003
ONT,BUY,LIMIT,IOC,161.7,0.1582,0.1560,FILLED,161.7,161.7,1752834340464,25.58094
TAC,BUY,LIMIT,IOC,3001,0.0212600,0.0210500,FILLED,1607,3001,1752834347339,63.801260000000006
VELVET,BUY,LIMIT,IOC,666,0.0781000,0.0771800,FILLED,666,666,1752834347339,52.0146
TAC,BUY,LIMIT,IOC,139044,0.0213900,0.0211036,FILLED,20872,139044,1752834354596,2974.15116
IDOL,SELL,LIMIT,IOC,76663,0.0168300,0.0170856,FILLED,10194,76663,1752834354596,1290.23829
SAHARA,SELL,LIMIT,IOC,13613,0.0899900,0.0909595,FILLED,90,13613,1752834354596,1225.03387
TAC,BUY,LIMIT,IOC,11108,0.0215000,0.0213000,FILLED,11108,11108,1752834358294,238.82199999999997
TAC,BUY,LIMIT,IOC,1500,0.0215100,0.0211600,FILLED,1500,1500,1752834359454,32.265
XRP,BUY,LIMIT,IOC,4428.8,3.4551,3.4387,FILLED,1728.1,4428.8,1752834361540,15301.94688
TAC,BUY,LIMIT,IOC,1100000,0.0217000,0.0213511,FILLED,1811,1100000,1752834362353,23870.0
AEVO,BUY,LIMIT,IOC,2512.5,0.1217000,0.1200000,FILLED,2512.5,2512.5,1752834363142,305.77125
TAC,BUY,LIMIT,IOC,14492,0.0216000,0.0213406,FILLED,882,14492,1752834364549,313.0272
TAC,BUY,LIMIT,IOC,494,0.0217000,0.0213900,FILLED,494,494,1752834369106,10.719800000000001
CROSS,SELL,LIMIT,IOC,367,0.2746300,0.2782052,FILLED,174,367,1752834379246,100.78921
SAHARA,BUY,LIMIT,IOC,341,0.0928900,0.0920335,FILLED,60,341,1752834380140,31.67549
SAHARA,BUY,LIMIT,IOC,6227,0.0929300,0.0921421,FILLED,3546,6227,1752834381264,578.67511
SAHARA,BUY,LIMIT,IOC,60000,0.0930200,0.0923752,FILLED,729,60000,1752834383035,5581.200000000001
C,BUY,LIMIT,IOC,5212,0.4761800,0.4693254,FILLED,103,5212,1752834383084,2481.85016
TAC,BUY,LIMIT,IOC,110011,0.0217700,0.0215351,FILLED,5432,110011,1752834383084,2394.9394700000003
ERA,SELL,LIMIT,IOC,177,1.4566000,1.4704237,FILLED,135,177,1752834383084,257.8182
TAC,BUY,LIMIT,IOC,956,0.0218200,0.0215500,FILLED,956,956,1752834384182,20.85992
SAHARA,BUY,LIMIT,IOC,330,0.0930800,0.0924900,FILLED,63,330,1752834384635,30.7164
MKR,SELL,LIMIT,IOC,0.664,2055.70,2065.30,FILLED,0.654,0.664,1752834385225,1364.9848
SAHARA,BUY,LIMIT,IOC,4000,0.0933200,0.0924633,FILLED,613,4000,1752834386086,373.28
C,SELL,LIMIT,IOC,586,0.4614400,0.4665309,FILLED,151,586,1752834388116,270.40384
C,SELL,LIMIT,IOC,100,0.4605700,0.4682700,FILLED,100,100,1752834391502,46.056999999999995
C,SELL,LIMIT,IOC,1161,0.4602200,0.4659325,FILLED,107,1161,1752834395402,534.31542
VELVET,BUY,LIMIT,IOC,1074,0.0781500,0.0770518,FILLED,195,1074,1752834401229,83.9331
TAC,BUY,LIMIT,IOC,38245,0.0219500,0.0216900,FILLED,38245,38245,1752834403095,839.47775
C,SELL,LIMIT,IOC,571,0.4591400,0.4646942,FILLED,163,571,1752834403533,262.16894
TAC,BUY,LIMIT,IOC,677,0.0219800,0.0215700,FILLED,677,677,1752834405489,14.88046
TAC,BUY,LIMIT,IOC,209433,0.0220000,0.0217272,FILLED,713,209433,1752834409139,4607.526
ERA,SELL,LIMIT,IOC,34,1.4551000,1.4679000,FILLED,34,34,1752834409151,49.473400000000005
C,SELL,LIMIT,IOC,8011,0.4579900,0.4629686,FILLED,1677,8011,1752834414192,3668.95789
